OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,GEOID_Data,Census_Tra,County,County_ID,Region,ind_id,ind_defini,reportyear,race_eth_c,race_eth_n,geotype,geotypeval,F8,Tract_Num,geoname,county_nam,county_fip,region_nam,region_cod,strata_one,strata_o_1,strata_two,strata_t_1,numerator,denominato,estimate,ll_95ci,ul_95ci,se,rse,CA_decile,CA_RR,version,PCT_overcr,ObjectID,Shape_Leng,Shape__Area,Shape__Length
11,06,037,192510,06037192510,1925.10,14000US06037192510,06037192510,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037192510,1,6037192510,1925.1,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,268,1297,20.7,12.1702342602,29.2297657398,4.35192129583,21.023774376,NA,2.5875,Mon Nov 06 12:46:42 2017,20.6630686199,1602,0.0238766842533,497960.43359375,2993.23388069857
12,06,037,192520,06037192520,1925.20,14000US06037192520,06037192520,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037192520,1,6037192520,1925.2,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,763,1596,47.8,34.5878925713,61.0121074287,6.74087113708,14.102240873,NA,5.975,Mon Nov 06 12:46:42 2017,47.8070175439,1603,0.0228482640064,449815.18359375,2878.87390777648
13,06,037,192610,06037192610,1926.10,14000US06037192610,06037192610,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037192610,1,6037192610,1926.1,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,444,1396,31.8,22.7118177512,40.8881822488,4.63682767794,14.581219113,NA,3.975,Mon Nov 06 12:46:42 2017,31.8051575931,1604,0.0280177952225,607082.359375,3370.03738366496
14,06,037,192700,06037192700,1927,14000US06037192700,06037192700,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037192700,1,6037192700,1927,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,243,1093,22.2,11.4991253219,32.9008746781,5.45962993783,24.592927648,NA,2.775,Mon Nov 06 12:46:42 2017,22.2323879231,1606,0.0288496990914,776285.65234375,3543.20634439744
15,06,037,194500,06037194500,1945,14000US06037194500,06037194500,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037194500,1,6037194500,1945,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,0,1001,0,0,6.5715796175,3.35284674362,Inf,NA,0,Mon Nov 06 12:46:42 2017,0,1613,0.047128823787,1001492.640625,5513.36129957556
16,06,037,195100,06037195100,1951,14000US06037195100,06037195100,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037195100,1,6037195100,1951,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,33,2119,1.6,0,4.80153878801,1.63343815715,102.08988482,NA,0.2,Mon Nov 06 12:46:42 2017,1.55733836715,1614,0.0654875988466,2771173.91015625,8009.32322987476
17,06,037,195300,06037195300,1953,14000US06037195300,06037195300,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037195300,1,6037195300,1953,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,141,1586,8.9,2.52135750126,15.2786424987,3.25440943813,36.566398181,NA,1.1125,Mon Nov 06 12:46:42 2017,8.89029003783,1617,0.0345686148266,848490.25,4077.36542038293
18,06,001,443001,06001443001,4430.01,14000US06001443001,06001443001,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001443001,1,6001443001,4430.01,Alameda,06001,Bay Area,01,NA,NA,NA,NA,83,827,10.1,2.82508169142,17.3749183086,3.71169301458,36.749435788,NA,1.2625,Mon Nov 06 12:46:42 2017,10.0362756953,298,0.0392252873636,1224090.40234375,5006.89964421832
19,06,001,443002,06001443002,4430.02,14000US06001443002,06001443002,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001443002,1,6001443002,4430.02,Alameda,06001,Bay Area,01,NA,NA,NA,NA,74,1735,4.3,0,8.99543569248,2.39563045535,55.712336171,NA,0.5375,Mon Nov 06 12:46:42 2017,4.265129683,299,0.0517267699647,2516316.9296875,6445.15945028387
20,06,001,443102,06001443102,4431.02,14000US06001443102,06001443102,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001443102,1,6001443102,4431.02,Alameda,06001,Bay Area,01,NA,NA,NA,NA,8,1427,0.6,0,4.1042753426,1.78789558296,297.98259716,NA,0.075,Mon Nov 06 12:46:42 2017,0.560616678346,300,0.0661070533785,3768634.3125,8333.1033589956
21,06,001,443301,06001443301,4433.01,14000US06001443301,06001443301,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001443301,1,6001443301,4433.01,Alameda,06001,Bay Area,01,NA,NA,NA,NA,0,1262,0,0,5.2235632857,2.66508330903,Inf,NA,0,Mon Nov 06 12:46:42 2017,0,305,0.0678209903528,2509039.05859375,8625.09018437308
22,06,037,137501,06037137501,1375.01,14000US06037137501,06037137501,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037137501,1,6037137501,1375.01,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,86,1587,5.4,1.82553191489,8.97446808511,1.82370820669,33.772374198,NA,0.675,Mon Nov 06 12:46:42 2017,5.41902961563,1462,0.0748845948047,3681807.796875,8932.12068809288
23,06,037,137502,06037137502,1375.02,14000US06037137502,06037137502,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037137502,1,6037137502,1375.02,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,9,1626,0.6,0,3.61425615267,1.53788579218,256.3142987,NA,0.075,Mon Nov 06 12:46:42 2017,0.553505535055,1463,0.0587735691331,3060563.734375,7101.7989224208
24,06,085,504311,06085504311,5043.11,14000US06085504311,06085504311,Santa Clara,06085,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06085504311,1,6085504311,5043.11,Santa Clara,06085,Bay Area,01,NA,NA,NA,NA,122,2379,5.2,1.57622657769,8.82377342231,1.84886399097,35.555076749,NA,0.65,Mon Nov 06 12:46:42 2017,5.12820512821,6934,0.0637678625496,3452856.28125,7920.34877423759
25,06,085,504314,06085504314,5043.14,14000US06085504314,06085504314,Santa Clara,06085,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06085504314,1,6085504314,5043.14,Santa Clara,06085,Bay Area,01,NA,NA,NA,NA,62,1323,4.7,0,10.1924945703,2.80229314811,59.62325847,NA,0.5875,Mon Nov 06 12:46:42 2017,4.68631897203,6935,0.0543748164872,2341784.65625,6683.08069253662
26,06,085,504315,06085504315,5043.15,14000US06085504315,06085504315,Santa Clara,06085,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06085504315,1,6085504315,5043.15,Santa Clara,06085,Bay Area,01,NA,NA,NA,NA,21,2017,1,0,4.05170176422,1.55699069603,155.6990696,NA,0.125,Mon Nov 06 12:46:42 2017,1.0411502231,6936,0.055724452425,2519364.1875,6818.91006646456
27,06,077,002000,06077002000,20,14000US06077002000,06077002000,San Joaquin,06077,Central Valley Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06077002000,1,6077002000,20,San Joaquin,06077,San Joaquin Valley,10,NA,NA,NA,NA,185,1154,16,5.96528253763,26.0347174624,5.11975380733,31.998461296,NA,2,Mon Nov 06 12:46:42 2017,16.0311958406,6396,0.0644761426822,3236010.3046875,8215.93255379029
28,06,077,002100,06077002100,21,14000US06077002100,06077002100,San Joaquin,06077,Central Valley Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06077002100,1,6077002100,21,San Joaquin,06077,San Joaquin Valley,10,NA,NA,NA,NA,146,1253,11.6,4.42529467089,18.7747053291,3.66056394342,31.556585719,NA,1.45,Mon Nov 06 12:46:42 2017,11.6520351157,6397,0.0741566190072,5334247.30078125,9419.7121067172
29,06,077,002300,06077002300,23,14000US06077002300,06077002300,San Joaquin,06077,Central Valley Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06077002300,1,6077002300,23,San Joaquin,06077,San Joaquin Valley,10,NA,NA,NA,NA,233,1320,17.7,9.60050105222,25.7994989478,4.13239742234,23.346878092,NA,2.2125,Mon Nov 06 12:46:42 2017,17.6515151515,6400,0.0799605709885,3353119.6796875,10758.0369671749
30,06,059,011711,06059011711,117.11,14000US06059011711,06059011711,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059011711,1,6059011711,117.11,Orange,06059,Southern California,14,NA,NA,NA,NA,514,2640,19.4,11.2168011005,27.5831988995,4.17510147932,21.521141646,NA,2.425,Mon Nov 06 12:46:42 2017,19.4696969697,3804,0.0416619413796,1645816.16796875,5064.49854322482
31,06,059,011712,06059011712,117.12,14000US06059011712,06059011712,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059011712,1,6059011712,117.12,Orange,06059,Southern California,14,NA,NA,NA,NA,136,1478,9.2,2.78695309034,15.6130469097,3.27196270901,35.564812054,NA,1.15,Mon Nov 06 12:46:42 2017,9.20162381597,3805,0.048145433226,2082466.16796875,5777.96610152185
32,06,059,011715,06059011715,117.15,14000US06059011715,06059011715,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059011715,1,6059011715,117.15,Orange,06059,Southern California,14,NA,NA,NA,NA,51,2357,2.2,0,5.90129606703,1.88841636073,85.837107306,NA,0.275,Mon Nov 06 12:46:42 2017,2.16376750106,3806,0.0710307454742,3602125.1015625,8569.30427660451
33,06,059,011716,06059011716,117.16,14000US06059011716,06059011716,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059011716,1,6059011716,117.16,Orange,06059,Southern California,14,NA,NA,NA,NA,112,1527,7.3,2.65319148936,11.9468085106,2.37082066869,32.476995462,NA,0.9125,Mon Nov 06 12:46:42 2017,7.33464309103,3807,0.0557386291063,2252031.63671875,6571.51882335723
34,06,059,042114,06059042114,421.14,14000US06059042114,06059042114,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059042114,1,6059042114,421.14,Orange,06059,Southern California,14,NA,NA,NA,NA,92,1625,5.7,0.0357242370701,11.3642757629,2.88993661374,50.700642346,NA,0.7125,Mon Nov 06 12:46:42 2017,5.66153846154,3899,0.101763437494,5431225.53125,12997.3565226942
35,06,001,423400,06001423400,4234,14000US06001423400,06001423400,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001423400,1,6001423400,4234,Alameda,06001,Bay Area,01,NA,NA,NA,NA,88,1921,4.6,0,10.088616146,2.80031436019,60.876399135,NA,0.575,Mon Nov 06 12:46:42 2017,4.58094742322,140,0.0354867715754,1213916.234375,4486.07178841391
36,06,059,042305,06059042305,423.05,14000US06059042305,06059042305,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059042305,1,6059042305,423.05,Orange,06059,Southern California,14,NA,NA,NA,NA,6,1482,0.4,0,3.72337973674,1.6956019065,423.90047663,NA,0.05,Mon Nov 06 12:46:42 2017,0.404858299595,3904,0.120886477142,6576422.046875,14639.7258007636
37,06,059,042307,06059042307,423.07,14000US06059042307,06059042307,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059042307,1,6059042307,423.07,Orange,06059,Southern California,14,NA,NA,NA,NA,77,2284,3.4,0,7.20157933395,1.93958129283,57.046508613,NA,0.425,Mon Nov 06 12:46:42 2017,3.37127845884,3905,0.0692671470411,3574047.6328125,8239.60690926349
38,06,059,063010,06059063010,630.10,14000US06059063010,06059063010,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059063010,1,6059063010,630.1,Orange,06059,Southern California,14,NA,NA,NA,NA,73,3202,2.2,0,5.17872340426,1.51975683891,69.079856314,NA,0.275,Mon Nov 06 12:46:42 2017,2.27982510931,4013,0.0787600157479,4422625.86328125,9582.81577039609
39,06,059,063101,06059063101,631.01,14000US06059063101,06059063101,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059063101,1,6059063101,631.01,Orange,06059,Southern California,14,NA,NA,NA,NA,3,1102,0.3,0,4.69399565624,2.24183451849,747.27817283,NA,0.0375,Mon Nov 06 12:46:42 2017,0.2722323049,4014,0.0654161604043,2834486.890625,7866.60827355454
40,06,059,063102,06059063102,631.02,14000US06059063102,06059063102,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059063102,1,6059063102,631.02,Orange,06059,Southern California,14,NA,NA,NA,NA,16,2711,0.6,0,2.68425514539,1.06339548234,177.23258039,NA,0.075,Mon Nov 06 12:46:42 2017,0.590188122464,4015,0.0492289678084,2189227.80078125,5958.49439663451
41,06,071,004201,06071004201,42.01,14000US06071004201,06071004201,San Bernardino,06071,Inland Empire Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06071004201,1,6071004201,42.01,San Bernardino,06071,Southern California,14,NA,NA,NA,NA,301,1599,18.9,12.1915868717,25.6084131283,3.42265975933,18.109310896,NA,2.3625,Mon Nov 06 12:46:42 2017,18.8242651657,5371,0.0819042657631,4910859.4375,9974.46412949067
42,06,071,004202,06071004202,42.02,14000US06071004202,06071004202,San Bernardino,06071,Inland Empire Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06071004202,1,6071004202,42.02,San Bernardino,06071,Southern California,14,NA,NA,NA,NA,287,1476,19.4,10.7413885213,28.0586114787,4.4176589177,22.77143772,NA,2.425,Mon Nov 06 12:46:42 2017,19.4444444444,5372,0.0579059611933,2654640.875,7384.97100923449
43,06,071,004401,06071004401,44.01,14000US06071004401,06071004401,San Bernardino,06071,Inland Empire Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06071004401,1,6071004401,44.01,San Bernardino,06071,Southern California,14,NA,NA,NA,NA,94,1073,8.8,3.52505173283,14.0749482672,2.69130013631,30.582956094,NA,1.1,Mon Nov 06 12:46:42 2017,8.76048462255,5375,0.06537325172,2611070.171875,8282.76162372829
44,06,001,423500,06001423500,4235,14000US06001423500,06001423500,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001423500,1,6001423500,4235,Alameda,06001,Bay Area,01,NA,NA,NA,NA,12,1320,0.9,0,4.79564184068,1.98757236769,220.84137419,NA,0.1125,Mon Nov 06 12:46:42 2017,0.909090909091,141,0.0326500435181,1021601.8984375,4168.7920343332
45,06,001,423602,06001423602,4236.02,14000US06001423602,06001423602,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001423602,1,6001423602,4236.02,Alameda,06001,Bay Area,01,NA,NA,NA,NA,37,2325,1.6,0,3.62903326913,1.03522105568,64.70131598,NA,0.2,Mon Nov 06 12:46:42 2017,1.59139784946,143,0.0300524327753,650142.62109375,3576.64034872424
46,06,001,427600,06001427600,4276,14000US06001427600,06001427600,Alameda,06001,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06001427600,1,6001427600,4276,Alameda,06001,Bay Area,01,NA,NA,NA,NA,216,1477,14.7,7.56199417156,21.8380058284,3.64183970839,24.774419785,NA,1.8375,Mon Nov 06 12:46:42 2017,14.6242383209,159,0.0374532164263,934577.33984375,4416.67021038616
47,06,059,063103,06059063103,631.03,14000US06059063103,06059063103,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059063103,1,6059063103,631.03,Orange,06059,Southern California,14,NA,NA,NA,NA,11,1102,1,0,5.74356441402,2.42018592552,242.01859255,NA,0.125,Mon Nov 06 12:46:42 2017,0.998185117967,4016,0.0477762949333,1404990.38671875,5816.99419100051
48,06,059,063201,06059063201,632.01,14000US06059063201,06059063201,Orange,06059,Orange County Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06059063201,1,6059063201,632.01,Orange,06059,Southern California,14,NA,NA,NA,NA,70,1607,4.4,0,9.11354155282,2.40486813919,54.656094073,NA,0.55,Mon Nov 06 12:46:42 2017,4.35594275047,4017,0.0405523058121,1472442.3515625,4928.78854664332
49,06,075,015700,06075015700,157,14000US06075015700,06075015700,San Francisco,06075,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06075015700,1,6075015700,157,San Francisco,06075,Bay Area,01,NA,NA,NA,NA,38,2445,1.5,0,3.58425514539,1.06339548234,70.893032156,NA,0.1875,Mon Nov 06 12:46:42 2017,1.55419222904,6232,0.0419025068865,1341568.40234375,5052.86201681517
50,06,075,015900,06075015900,159,14000US06075015900,06075015900,San Francisco,06075,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06075015900,1,6075015900,159,San Francisco,06075,Bay Area,01,NA,NA,NA,NA,91,2133,4.3,0.296524823323,8.30347517668,2.04258937586,47.502078508,NA,0.5375,Mon Nov 06 12:46:42 2017,4.26629160806,6235,0.0260074934986,475302.5703125,3083.44648185564
51,06,075,016000,06075016000,160,14000US06075016000,06075016000,San Francisco,06075,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06075016000,1,6075016000,160,San Francisco,06075,Bay Area,01,NA,NA,NA,NA,105,1506,7,1.68617117117,12.3138288288,2.71113715757,38.730530822,NA,0.875,Mon Nov 06 12:46:42 2017,6.97211155378,6236,0.0173388309885,252607.27734375,2243.4745497394
52,06,075,016200,06075016200,162,14000US06075016200,06075016200,San Francisco,06075,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06075016200,1,6075016200,162,San Francisco,06075,Bay Area,01,NA,NA,NA,NA,101,1392,7.3,1.17338070296,13.426619297,3.12582617196,42.819536602,NA,0.9125,Mon Nov 06 12:46:42 2017,7.25574712644,6238,0.0226037190382,438139.0078125,2792.99402558827
53,06,075,016300,06075016300,163,14000US06075016300,06075016300,San Francisco,06075,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06075016300,1,6075016300,163,San Francisco,06075,Bay Area,01,NA,NA,NA,NA,0,1908,0,0,3.53854287096,1.8053790158,Inf,NA,0,Mon Nov 06 12:46:42 2017,0,6239,0.0208785318724,394207.1796875,2548.12004477607
54,06,075,016400,06075016400,164,14000US06075016400,06075016400,San Francisco,06075,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06075016400,1,6075016400,164,San Francisco,06075,Bay Area,01,NA,NA,NA,NA,18,1809,1,0,3.93067632796,1.49524302447,149.52430245,NA,0.125,Mon Nov 06 12:46:42 2017,0.995024875622,6240,0.0242761777807,495578.7109375,2927.78861773523
55,06,037,408137,06037408137,4081.37,14000US06037408137,06037408137,Los Angeles,06037,Los Angeles Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06037408137,1,6037408137,4081.37,Los Angeles,06037,Southern California,14,NA,NA,NA,NA,120,1335,9,2.64812115426,15.3518788457,3.24075451313,36.008383479,NA,1.125,Mon Nov 06 12:46:42 2017,8.98876404494,2381,0.041526076059,1212048.87109375,5257.71320304882
56,06,075,016600,06075016600,166,14000US06075016600,06075016600,San Francisco,06075,Bay Area Region,137,Percent of household overcrowding (> 1.0 persons per room) and severe overcrowding (> 1.5 persons per room),2006-2010,9,Total,CT,06075016600,1,6075016600,166,San Francisco,06075,Bay Area,01,NA,NA,NA,NA,0,2552,0,0,2.69603266359,1.37552686918,Inf,NA,0,Mon Nov 06 12:46:42 2017,0,6242,0.0327509577757,550133.9296875,3818.04021314487
